parish,office,district,party,candidate,votes
Winn,U.S. Senate,,D,Mary Landrieu,2038
Winn,U.S. Senate,,R,Suzanne Haik Terrell,2247
Allen,U.S. House,5th Congressional District,D,Rodney Alexander,1630
Allen,U.S. House,5th Congressional District,R,Lee Fletcher,950
Avoyelles,U.S. House,5th Congressional District,D,Rodney Alexander,6429
Avoyelles,U.S. House,5th Congressional District,R,Lee Fletcher,4531
Caldwell,U.S. House,5th Congressional District,D,Rodney Alexander,1354
Caldwell,U.S. House,5th Congressional District,R,Lee Fletcher,1511
Catahoula,U.S. House,5th Congressional District,D,Rodney Alexander,1687
Catahoula,U.S. House,5th Congressional District,R,Lee Fletcher,1305
Concordia,U.S. House,5th Congressional District,D,Rodney Alexander,2701
Concordia,U.S. House,5th Congressional District,R,Lee Fletcher,2560
East Carroll,U.S. House,5th Congressional District,D,Rodney Alexander,1351
East Carroll,U.S. House,5th Congressional District,R,Lee Fletcher,782
Evangeline,U.S. House,5th Congressional District,D,Rodney Alexander,1396
Evangeline,U.S. House,5th Congressional District,R,Lee Fletcher,1811
Franklin,U.S. House,5th Congressional District,D,Rodney Alexander,2735
Franklin,U.S. House,5th Congressional District,R,Lee Fletcher,2970
Iberville,U.S. House,5th Congressional District,D,Rodney Alexander,2970
Iberville,U.S. House,5th Congressional District,R,Lee Fletcher,1363
Jackson,U.S. House,5th Congressional District,D,Rodney Alexander,3562
Jackson,U.S. House,5th Congressional District,R,Lee Fletcher,1940
Lasalle,U.S. House,5th Congressional District,D,Rodney Alexander,1498
Lasalle,U.S. House,5th Congressional District,R,Lee Fletcher,2257
Lincoln,U.S. House,5th Congressional District,D,Rodney Alexander,5681
Lincoln,U.S. House,5th Congressional District,R,Lee Fletcher,5766
Madison,U.S. House,5th Congressional District,D,Rodney Alexander,1738
Madison,U.S. House,5th Congressional District,R,Lee Fletcher,1295
Morehouse,U.S. House,5th Congressional District,D,Rodney Alexander,3956
Morehouse,U.S. House,5th Congressional District,R,Lee Fletcher,3946
Ouachita,U.S. House,5th Congressional District,D,Rodney Alexander,17422
Ouachita,U.S. House,5th Congressional District,R,Lee Fletcher,23982
Pointe Coupee,U.S. House,5th Congressional District,D,Rodney Alexander,3044
Pointe Coupee,U.S. House,5th Congressional District,R,Lee Fletcher,967
Rapides,U.S. House,5th Congressional District,D,Rodney Alexander,17045
Rapides,U.S. House,5th Congressional District,R,Lee Fletcher,16011
Richland,U.S. House,5th Congressional District,D,Rodney Alexander,2847
Richland,U.S. House,5th Congressional District,R,Lee Fletcher,3163
Tensas,U.S. House,5th Congressional District,D,Rodney Alexander,1246
Tensas,U.S. House,5th Congressional District,R,Lee Fletcher,844
Union,U.S. House,5th Congressional District,D,Rodney Alexander,2778
Union,U.S. House,5th Congressional District,R,Lee Fletcher,4023
West Carroll,U.S. House,5th Congressional District,D,Rodney Alexander,1171
West Carroll,U.S. House,5th Congressional District,R,Lee Fletcher,1983
Winn,U.S. House,5th Congressional District,D,Rodney Alexander,2477
Winn,U.S. House,5th Congressional District,R,Lee Fletcher,1784
