parish,office,district,party,candidate,votes
St. Bernard,U.S. House,3rd Congressional District,O,Anita W. Rosenthal,1686
St. Bernard,U.S. House,3rd Congressional District,R,"W. J. ""Billy"" Tauzin",21762
St. Charles,U.S. House,3rd Congressional District,O,"Edwin J. ""Eddie"" Albares",1307
St. Charles,U.S. House,3rd Congressional District,O,Dion Bourque,621
St. Charles,U.S. House,3rd Congressional District,O,Anita W. Rosenthal,1093
St. Charles,U.S. House,3rd Congressional District,R,"W. J. ""Billy"" Tauzin",10478
St. James,U.S. House,3rd Congressional District,O,"Edwin J. ""Eddie"" Albares",928
St. James,U.S. House,3rd Congressional District,O,Dion Bourque,432
St. James,U.S. House,3rd Congressional District,O,Anita W. Rosenthal,589
St. James,U.S. House,3rd Congressional District,R,"W. J. ""Billy"" Tauzin",4466
St. John The Baptist,U.S. House,3rd Congressional District,O,"Edwin J. ""Eddie"" Albares",1923
St. John The Baptist,U.S. House,3rd Congressional District,O,Dion Bourque,877
St. John The Baptist,U.S. House,3rd Congressional District,O,Anita W. Rosenthal,1084
St. John The Baptist,U.S. House,3rd Congressional District,R,"W. J. ""Billy"" Tauzin",7116
St. Martin,U.S. House,3rd Congressional District,O,"Edwin J. ""Eddie"" Albares",1306
St. Martin,U.S. House,3rd Congressional District,O,Dion Bourque,1100
St. Martin,U.S. House,3rd Congressional District,O,Anita W. Rosenthal,749
St. Martin,U.S. House,3rd Congressional District,R,"W. J. ""Billy"" Tauzin",8774
St. Mary,U.S. House,3rd Congressional District,O,"Edwin J. ""Eddie"" Albares",1525
St. Mary,U.S. House,3rd Congressional District,O,Dion Bourque,959
St. Mary,U.S. House,3rd Congressional District,O,Anita W. Rosenthal,1089
St. Mary,U.S. House,3rd Congressional District,R,"W. J. ""Billy"" Tauzin",11960
Terrebonne,U.S. House,3rd Congressional District,O,"Edwin J. ""Eddie"" Albares",1877
Terrebonne,U.S. House,3rd Congressional District,O,Dion Bourque,997
Terrebonne,U.S. House,3rd Congressional District,O,Anita W. Rosenthal,1768
Terrebonne,U.S. House,3rd Congressional District,R,"W. J. ""Billy"" Tauzin",20902
Allen,U.S. House,4th Congressional District,D,Phillip R. Green,652
Allen,U.S. House,4th Congressional District,R,"""Jim"" McCrery",935
Allen,U.S. House,4th Congressional District,O,James Ronald Skains,58
Allen,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",104
Beauregard,U.S. House,4th Congressional District,D,Phillip R. Green,1782
Beauregard,U.S. House,4th Congressional District,R,"""Jim"" McCrery",5023
Beauregard,U.S. House,4th Congressional District,O,James Ronald Skains,180
Beauregard,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",294
Bienville,U.S. House,4th Congressional District,D,Phillip R. Green,1166
Bienville,U.S. House,4th Congressional District,R,"""Jim"" McCrery",3193
Bienville,U.S. House,4th Congressional District,O,James Ronald Skains,190
Bienville,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",192
Bossier,U.S. House,4th Congressional District,D,Phillip R. Green,4292
Bossier,U.S. House,4th Congressional District,R,"""Jim"" McCrery",21246
Bossier,U.S. House,4th Congressional District,O,James Ronald Skains,638
Bossier,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",504
Caddo,U.S. House,4th Congressional District,D,Phillip R. Green,24606
Caddo,U.S. House,4th Congressional District,R,"""Jim"" McCrery",51938
Caddo,U.S. House,4th Congressional District,O,James Ronald Skains,987
Caddo,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",1380
Claiborne,U.S. House,4th Congressional District,D,Phillip R. Green,915
Claiborne,U.S. House,4th Congressional District,R,"""Jim"" McCrery",3327
Claiborne,U.S. House,4th Congressional District,O,James Ronald Skains,101
Claiborne,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",95
De Soto,U.S. House,4th Congressional District,D,Phillip R. Green,1675
De Soto,U.S. House,4th Congressional District,R,"""Jim"" McCrery",5856
De Soto,U.S. House,4th Congressional District,O,James Ronald Skains,135
De Soto,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",191
Natchitoches,U.S. House,4th Congressional District,D,Phillip R. Green,2165
Natchitoches,U.S. House,4th Congressional District,R,"""Jim"" McCrery",6866
Natchitoches,U.S. House,4th Congressional District,O,James Ronald Skains,372
Natchitoches,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",507
Red River,U.S. House,4th Congressional District,D,Phillip R. Green,755
Red River,U.S. House,4th Congressional District,R,"""Jim"" McCrery",2418
Red River,U.S. House,4th Congressional District,O,James Ronald Skains,99
Red River,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",119
Sabine,U.S. House,4th Congressional District,D,Phillip R. Green,1133
Sabine,U.S. House,4th Congressional District,R,"""Jim"" McCrery",4466
Sabine,U.S. House,4th Congressional District,O,James Ronald Skains,238
Sabine,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",178
Vernon,U.S. House,4th Congressional District,D,Phillip R. Green,1589
Vernon,U.S. House,4th Congressional District,R,"""Jim"" McCrery",8315
Vernon,U.S. House,4th Congressional District,O,James Ronald Skains,157
Vernon,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",225
Webster,U.S. House,4th Congressional District,D,Phillip R. Green,2870
Webster,U.S. House,4th Congressional District,R,"""Jim"" McCrery",9095
Webster,U.S. House,4th Congressional District,O,James Ronald Skains,475
Webster,U.S. House,4th Congressional District,O,"Michael ""Mike"" Taylor",270
Avoyelles,U.S. House,5th Congressional District,D,Roger Beall,2586
Avoyelles,U.S. House,5th Congressional District,R,John C. Cooksey,7063
Avoyelles,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",365
Avoyelles,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",378
Caldwell,U.S. House,5th Congressional District,D,Roger Beall,730
Caldwell,U.S. House,5th Congressional District,R,John C. Cooksey,2469
Caldwell,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",54
Caldwell,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",89
Catahoula,U.S. House,5th Congressional District,D,Roger Beall,1098
Catahoula,U.S. House,5th Congressional District,R,John C. Cooksey,2114
Catahoula,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",74
Catahoula,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",102
Concordia,U.S. House,5th Congressional District,D,Roger Beall,1629
Concordia,U.S. House,5th Congressional District,R,John C. Cooksey,3762
Concordia,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",219
Concordia,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",269
East Carroll,U.S. House,5th Congressional District,D,Roger Beall,774
East Carroll,U.S. House,5th Congressional District,R,John C. Cooksey,1280
East Carroll,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",83
East Carroll,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",159
Evangeline,U.S. House,5th Congressional District,D,Roger Beall,383
Evangeline,U.S. House,5th Congressional District,R,John C. Cooksey,1055
Evangeline,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",75
Evangeline,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",77
Franklin,U.S. House,5th Congressional District,D,Roger Beall,2701
Franklin,U.S. House,5th Congressional District,R,John C. Cooksey,3787
Franklin,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",334
Franklin,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",152
Grant,U.S. House,5th Congressional District,D,Roger Beall,930
Grant,U.S. House,5th Congressional District,R,John C. Cooksey,3840
Grant,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",136
Grant,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",227
Jackson,U.S. House,5th Congressional District,D,Roger Beall,1246
Jackson,U.S. House,5th Congressional District,R,John C. Cooksey,3530
Jackson,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",134
Jackson,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",352
Lasalle,U.S. House,5th Congressional District,D,Roger Beall,514
Lasalle,U.S. House,5th Congressional District,R,John C. Cooksey,4044
Lasalle,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",97
Lasalle,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",130
Lincoln,U.S. House,5th Congressional District,D,Roger Beall,2866
Lincoln,U.S. House,5th Congressional District,R,John C. Cooksey,7496
Lincoln,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",352
Lincoln,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",537
Madison,U.S. House,5th Congressional District,D,Roger Beall,1138
Madison,U.S. House,5th Congressional District,R,John C. Cooksey,1800
Madison,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",86
Madison,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",133
Morehouse,U.S. House,5th Congressional District,D,Roger Beall,2941
Morehouse,U.S. House,5th Congressional District,R,John C. Cooksey,6064
Morehouse,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",260
Morehouse,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",506
Ouachita,U.S. House,5th Congressional District,D,Roger Beall,10190
Ouachita,U.S. House,5th Congressional District,R,John C. Cooksey,36964
Ouachita,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",1281
Ouachita,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",1685
Rapides,U.S. House,5th Congressional District,D,Roger Beall,7635
Rapides,U.S. House,5th Congressional District,R,John C. Cooksey,22781
Rapides,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",962
Rapides,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",1332
Richland,U.S. House,5th Congressional District,D,Roger Beall,1705
Richland,U.S. House,5th Congressional District,R,John C. Cooksey,3996
Richland,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",216
Richland,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",202
Tensas,U.S. House,5th Congressional District,D,Roger Beall,825
Tensas,U.S. House,5th Congressional District,R,John C. Cooksey,1201
Tensas,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",79
Tensas,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",83
Union,U.S. House,5th Congressional District,D,Roger Beall,1398
Union,U.S. House,5th Congressional District,R,John C. Cooksey,5028
Union,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",268
Union,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",214
West Carroll,U.S. House,5th Congressional District,D,Roger Beall,814
West Carroll,U.S. House,5th Congressional District,R,John C. Cooksey,2415
West Carroll,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",122
West Carroll,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",103
Winn,U.S. House,5th Congressional District,D,Roger Beall,874
Winn,U.S. House,5th Congressional District,R,John C. Cooksey,3286
Winn,U.S. House,5th Congressional District,O,"Raymond A. ""Chuck"" Dumas",138
Winn,U.S. House,5th Congressional District,D,"Sam Houston Melton, Jr.",456
Ascension,U.S. House,6th Congressional District,R,Richard H. Baker,12857
Ascension,U.S. House,6th Congressional District,D,Kathy J. Rogillio,4411
Ascension,U.S. House,6th Congressional District,O,Michael S. Wolf,467
East Baton Rouge,U.S. House,6th Congressional District,R,Richard H. Baker,104451
East Baton Rouge,U.S. House,6th Congressional District,D,Kathy J. Rogillio,48689
East Baton Rouge,U.S. House,6th Congressional District,O,Michael S. Wolf,3409
East Feliciana,U.S. House,6th Congressional District,R,Richard H. Baker,4208
East Feliciana,U.S. House,6th Congressional District,D,Kathy J. Rogillio,2588
East Feliciana,U.S. House,6th Congressional District,O,Michael S. Wolf,123
Iberville,U.S. House,6th Congressional District,R,Richard H. Baker,6205
Iberville,U.S. House,6th Congressional District,D,Kathy J. Rogillio,3090
Iberville,U.S. House,6th Congressional District,O,Michael S. Wolf,273
Livingston,U.S. House,6th Congressional District,R,Richard H. Baker,22667
Livingston,U.S. House,6th Congressional District,D,Kathy J. Rogillio,5728
Livingston,U.S. House,6th Congressional District,O,Michael S. Wolf,786
Pointe Coupee,U.S. House,6th Congressional District,R,Richard H. Baker,5139
Pointe Coupee,U.S. House,6th Congressional District,D,Kathy J. Rogillio,2263
Pointe Coupee,U.S. House,6th Congressional District,O,Michael S. Wolf,191
St. Helena,U.S. House,6th Congressional District,R,Richard H. Baker,2137
St. Helena,U.S. House,6th Congressional District,D,Kathy J. Rogillio,1196
St. Helena,U.S. House,6th Congressional District,O,Michael S. Wolf,113
West Baton Rouge,U.S. House,6th Congressional District,R,Richard H. Baker,5432
West Baton Rouge,U.S. House,6th Congressional District,D,Kathy J. Rogillio,3111
West Baton Rouge,U.S. House,6th Congressional District,O,Michael S. Wolf,185
West Feliciana,U.S. House,6th Congressional District,R,Richard H. Baker,2541
West Feliciana,U.S. House,6th Congressional District,D,Kathy J. Rogillio,1116
West Feliciana,U.S. House,6th Congressional District,O,Michael S. Wolf,102
Acadia,U.S. House,7th Congressional District,O,Michael P. Harris,2755
Acadia,U.S. House,7th Congressional District,D,Chris John,15761
Allen,U.S. House,7th Congressional District,O,Michael P. Harris,636
Allen,U.S. House,7th Congressional District,D,Chris John,3076
Calcasieu,U.S. House,7th Congressional District,O,Michael P. Harris,7671
Calcasieu,U.S. House,7th Congressional District,D,Chris John,45982
Cameron,U.S. House,7th Congressional District,O,Michael P. Harris,394
Cameron,U.S. House,7th Congressional District,D,Chris John,2453
Evangeline,U.S. House,7th Congressional District,O,Michael P. Harris,1059
Evangeline,U.S. House,7th Congressional District,D,Chris John,5617
Jefferson Davis,U.S. House,7th Congressional District,O,Michael P. Harris,1224
Jefferson Davis,U.S. House,7th Congressional District,D,Chris John,7399
Lafayette,U.S. House,7th Congressional District,O,Michael P. Harris,11639
Lafayette,U.S. House,7th Congressional District,D,Chris John,39060
St. Landry,U.S. House,7th Congressional District,O,Michael P. Harris,2819
St. Landry,U.S. House,7th Congressional District,D,Chris John,19722
St. Martin,U.S. House,7th Congressional District,O,Michael P. Harris,145
St. Martin,U.S. House,7th Congressional District,D,Chris John,617
Vermilion,U.S. House,7th Congressional District,O,Michael P. Harris,2345
Vermilion,U.S. House,7th Congressional District,D,Chris John,13109
